date,type,title,owner,content
2026-07-18,Meeting Note,Launch Green Culture Program,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-06-14,Lesson Learned,Process Mining bottleneck,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-05-16,Risk,Launch Green Culture Program,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-06-15,Action,Dashboard adoption issue,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-08-28,Policy Draft,Leadership pipeline review,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-04-28,Risk,Leadership pipeline review,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-06-28,Lesson Learned,Launch Green Culture Program,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-02-11,Meeting Note,Launch Green Culture Program,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-18,Policy Draft,Decision Center pilot,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-02-08,Action,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-09-17,Action,Key person risk in IT,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-03-21,Policy Draft,Process Mining bottleneck,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-04-30,Decision,Decision Center pilot,COO,Phê duyệt roadmap 90 ngày.
2026-10-21,Risk,Dashboard adoption issue,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-04-16,Meeting Note,Approve Organization Health Assessment,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-04-01,Decision,KPI Cascade requires middle management buy-in,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-28,Meeting Note,Process Mining bottleneck,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-12-03,Meeting Note,KPI Cascade requires middle management buy-in,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-01-15,Lesson Learned,Leadership pipeline review,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-05-09,Decision,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-04-14,Lesson Learned,Leadership pipeline review,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-31,Action,Launch Green Culture Program,CFO,Dashboard phải gắn với nhịp họp điều hành.
2026-06-11,Action,Key person risk in IT,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-10-18,Action,Decision Center pilot,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-06-23,Action,Approve Organization Health Assessment,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-02-08,Risk,Decision Center pilot,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-02-26,Decision,Leadership pipeline review,COO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-07-05,Risk,Decision Center pilot,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-01-25,Lesson Learned,Process Mining bottleneck,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-10-06,Risk,Leadership pipeline review,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-04-11,Action,Launch Green Culture Program,CFO,Phê duyệt roadmap 90 ngày.
2025-07-23,Lesson Learned,Approve Organization Health Assessment,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-29,Risk,Decision Center pilot,COO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-10-21,Action,KPI Cascade requires middle management buy-in,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-04,Decision,Dashboard adoption issue,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-05-14,Meeting Note,Dashboard adoption issue,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-11-21,Risk,Key person risk in IT,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-05,Meeting Note,Process Mining bottleneck,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-09-02,Lesson Learned,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-07,Lesson Learned,Approve Organization Health Assessment,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-08-25,Risk,Key person risk in IT,HRD,Phê duyệt roadmap 90 ngày.
2025-01-02,Meeting Note,KPI Cascade requires middle management buy-in,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-11-26,Meeting Note,KPI Cascade requires middle management buy-in,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-07-05,Decision,KPI Cascade requires middle management buy-in,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-02-16,Decision,Decision Center pilot,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-11-26,Risk,Approve Organization Health Assessment,CTO,Phê duyệt roadmap 90 ngày.
2026-06-23,Meeting Note,Launch Green Culture Program,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-12-20,Policy Draft,Key person risk in IT,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-07-16,Action,Approve Organization Health Assessment,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-03-12,Policy Draft,Key person risk in IT,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-01-04,Risk,Leadership pipeline review,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-08-23,Decision,Leadership pipeline review,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-05-05,Decision,KPI Cascade requires middle management buy-in,CFO,Dashboard phải gắn với nhịp họp điều hành.
2026-07-01,Risk,KPI Cascade requires middle management buy-in,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-12-10,Lesson Learned,Decision Center pilot,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-03-28,Risk,Launch Green Culture Program,CTO,Phê duyệt roadmap 90 ngày.
2026-05-14,Lesson Learned,Approve Organization Health Assessment,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-02-18,Lesson Learned,Approve Organization Health Assessment,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-10-12,Risk,KPI Cascade requires middle management buy-in,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-08-22,Policy Draft,Leadership pipeline review,CEO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-09-03,Meeting Note,Approve Organization Health Assessment,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-02-11,Action,Process Mining bottleneck,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-05-16,Policy Draft,Launch Green Culture Program,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-09-23,Decision,Key person risk in IT,CEO,Phê duyệt roadmap 90 ngày.
2025-10-25,Decision,Leadership pipeline review,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-06-03,Policy Draft,KPI Cascade requires middle management buy-in,CTO,Dashboard phải gắn với nhịp họp điều hành.
2025-09-27,Lesson Learned,Approve Organization Health Assessment,CFO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-12-10,Action,Decision Center pilot,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-27,Meeting Note,Decision Center pilot,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-11-16,Decision,Dashboard adoption issue,CEO,Phê duyệt roadmap 90 ngày.
2025-10-30,Decision,Process Mining bottleneck,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-11-21,Action,Decision Center pilot,CEO,Phê duyệt roadmap 90 ngày.
2026-09-23,Policy Draft,Process Mining bottleneck,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-02-12,Lesson Learned,Leadership pipeline review,CTO,Phê duyệt roadmap 90 ngày.
2026-11-11,Lesson Learned,Decision Center pilot,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-10-25,Risk,Process Mining bottleneck,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-08-13,Policy Draft,Process Mining bottleneck,COO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-10,Meeting Note,Key person risk in IT,CTO,Phê duyệt roadmap 90 ngày.
2026-01-20,Policy Draft,Process Mining bottleneck,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-08-27,Lesson Learned,Process Mining bottleneck,COO,Phê duyệt roadmap 90 ngày.
2026-02-22,Lesson Learned,Dashboard adoption issue,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-04-17,Action,Key person risk in IT,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-02,Lesson Learned,Key person risk in IT,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-02-18,Lesson Learned,Dashboard adoption issue,CTO,Phê duyệt roadmap 90 ngày.
2025-09-17,Action,Decision Center pilot,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-06,Action,Process Mining bottleneck,CFO,Phê duyệt roadmap 90 ngày.
2026-01-09,Action,Process Mining bottleneck,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-07-22,Risk,KPI Cascade requires middle management buy-in,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-12-28,Lesson Learned,Key person risk in IT,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-06-25,Lesson Learned,Process Mining bottleneck,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-03,Decision,Launch Green Culture Program,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-06-09,Lesson Learned,Dashboard adoption issue,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-07-11,Lesson Learned,Process Mining bottleneck,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-12,Policy Draft,Approve Organization Health Assessment,CFO,Dashboard phải gắn với nhịp họp điều hành.
2025-11-24,Action,Dashboard adoption issue,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-12,Meeting Note,KPI Cascade requires middle management buy-in,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-11-12,Decision,Key person risk in IT,COO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-07-20,Lesson Learned,Key person risk in IT,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-11-06,Risk,KPI Cascade requires middle management buy-in,CTO,Dashboard phải gắn với nhịp họp điều hành.
2025-02-09,Policy Draft,KPI Cascade requires middle management buy-in,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-10-18,Policy Draft,KPI Cascade requires middle management buy-in,CFO,Phê duyệt roadmap 90 ngày.
2025-07-30,Decision,Dashboard adoption issue,COO,Phê duyệt roadmap 90 ngày.
2026-06-08,Lesson Learned,Leadership pipeline review,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-02-13,Policy Draft,KPI Cascade requires middle management buy-in,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-29,Meeting Note,Approve Organization Health Assessment,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-07-13,Risk,Leadership pipeline review,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-05-19,Action,Launch Green Culture Program,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-03-23,Risk,Leadership pipeline review,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-04-12,Meeting Note,Decision Center pilot,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-04-03,Lesson Learned,Key person risk in IT,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-07-21,Lesson Learned,KPI Cascade requires middle management buy-in,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-17,Decision,Launch Green Culture Program,CTO,Phê duyệt roadmap 90 ngày.
2025-07-31,Lesson Learned,Decision Center pilot,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-02-13,Lesson Learned,Leadership pipeline review,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-08-17,Meeting Note,KPI Cascade requires middle management buy-in,COO,Phê duyệt roadmap 90 ngày.
2026-08-25,Action,Key person risk in IT,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-02-04,Policy Draft,Key person risk in IT,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-29,Meeting Note,Approve Organization Health Assessment,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-10-04,Risk,Launch Green Culture Program,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-06-18,Decision,Approve Organization Health Assessment,CEO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-01-05,Action,Process Mining bottleneck,CTO,Phê duyệt roadmap 90 ngày.
2026-11-26,Meeting Note,Leadership pipeline review,CEO,Phê duyệt roadmap 90 ngày.
2025-08-25,Lesson Learned,Process Mining bottleneck,CTO,Phê duyệt roadmap 90 ngày.
2026-09-01,Risk,Process Mining bottleneck,COO,Dashboard phải gắn với nhịp họp điều hành.
2026-01-12,Policy Draft,Leadership pipeline review,CEO,Phê duyệt roadmap 90 ngày.
2025-06-16,Meeting Note,KPI Cascade requires middle management buy-in,CEO,Dashboard phải gắn với nhịp họp điều hành.
2026-01-30,Policy Draft,KPI Cascade requires middle management buy-in,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-06-18,Action,Decision Center pilot,COO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-01-06,Decision,Leadership pipeline review,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-06-08,Lesson Learned,KPI Cascade requires middle management buy-in,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-09-07,Risk,Key person risk in IT,CFO,Dashboard phải gắn với nhịp họp điều hành.
2025-10-01,Risk,Leadership pipeline review,CEO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-05-09,Risk,Launch Green Culture Program,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-12-05,Decision,Leadership pipeline review,COO,Dashboard phải gắn với nhịp họp điều hành.
2026-07-21,Risk,Decision Center pilot,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-08-23,Action,Leadership pipeline review,CTO,Phê duyệt roadmap 90 ngày.
2026-06-28,Meeting Note,KPI Cascade requires middle management buy-in,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-12-15,Risk,Decision Center pilot,CFO,Phê duyệt roadmap 90 ngày.
2026-08-25,Lesson Learned,Dashboard adoption issue,CEO,Phê duyệt roadmap 90 ngày.
2025-04-23,Policy Draft,Decision Center pilot,COO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-11-25,Action,Dashboard adoption issue,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-09-14,Risk,Process Mining bottleneck,CTO,Phê duyệt roadmap 90 ngày.
2025-10-12,Decision,Dashboard adoption issue,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-29,Risk,KPI Cascade requires middle management buy-in,CFO,Phê duyệt roadmap 90 ngày.
2025-01-29,Decision,Leadership pipeline review,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-11-28,Lesson Learned,Decision Center pilot,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-10-06,Decision,Approve Organization Health Assessment,CTO,Dashboard phải gắn với nhịp họp điều hành.
2025-05-11,Action,Approve Organization Health Assessment,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-04-15,Action,Decision Center pilot,CEO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-12-06,Risk,Approve Organization Health Assessment,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-01-23,Meeting Note,KPI Cascade requires middle management buy-in,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-03-26,Lesson Learned,Decision Center pilot,CFO,Phê duyệt roadmap 90 ngày.
2025-11-03,Policy Draft,KPI Cascade requires middle management buy-in,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-06-23,Policy Draft,Launch Green Culture Program,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-11-26,Meeting Note,Decision Center pilot,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-08-19,Meeting Note,Process Mining bottleneck,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-11-23,Meeting Note,Leadership pipeline review,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-05-18,Lesson Learned,Approve Organization Health Assessment,CEO,Phê duyệt roadmap 90 ngày.
2025-01-16,Policy Draft,Process Mining bottleneck,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-01-03,Risk,Key person risk in IT,CTO,Dashboard phải gắn với nhịp họp điều hành.
2026-05-03,Meeting Note,Decision Center pilot,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-08-03,Decision,KPI Cascade requires middle management buy-in,COO,Phê duyệt roadmap 90 ngày.
2026-08-08,Meeting Note,Launch Green Culture Program,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-16,Policy Draft,KPI Cascade requires middle management buy-in,CTO,Phê duyệt roadmap 90 ngày.
2025-01-26,Risk,KPI Cascade requires middle management buy-in,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-28,Action,Leadership pipeline review,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-07-18,Meeting Note,KPI Cascade requires middle management buy-in,COO,Dashboard phải gắn với nhịp họp điều hành.
2026-02-06,Action,Leadership pipeline review,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-04-23,Decision,KPI Cascade requires middle management buy-in,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-03-23,Policy Draft,Process Mining bottleneck,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-03-08,Meeting Note,Approve Organization Health Assessment,CFO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-03-10,Policy Draft,Decision Center pilot,COO,Phê duyệt roadmap 90 ngày.
2026-02-03,Decision,Process Mining bottleneck,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-07-27,Risk,Dashboard adoption issue,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-10-22,Policy Draft,Process Mining bottleneck,HRD,Phê duyệt roadmap 90 ngày.
2025-07-02,Risk,Key person risk in IT,CTO,Phê duyệt roadmap 90 ngày.
2026-08-18,Decision,Process Mining bottleneck,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-20,Policy Draft,Leadership pipeline review,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-02-17,Decision,Leadership pipeline review,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-05-13,Lesson Learned,KPI Cascade requires middle management buy-in,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-05-23,Policy Draft,Process Mining bottleneck,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-07-03,Decision,Approve Organization Health Assessment,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-01-07,Policy Draft,Decision Center pilot,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-01-07,Decision,Dashboard adoption issue,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-12-15,Meeting Note,Key person risk in IT,CEO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-05-14,Decision,Decision Center pilot,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-06-01,Lesson Learned,Dashboard adoption issue,CFO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-03-27,Lesson Learned,Dashboard adoption issue,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-01-16,Risk,Decision Center pilot,HRD,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-02-10,Action,Key person risk in IT,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-02-16,Lesson Learned,KPI Cascade requires middle management buy-in,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-21,Meeting Note,KPI Cascade requires middle management buy-in,CTO,Phê duyệt roadmap 90 ngày.
2025-09-04,Action,Decision Center pilot,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-11-16,Decision,Dashboard adoption issue,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-09-16,Lesson Learned,KPI Cascade requires middle management buy-in,HRD,Phê duyệt roadmap 90 ngày.
2025-03-18,Action,Approve Organization Health Assessment,CEO,Phê duyệt roadmap 90 ngày.
2026-12-28,Action,Launch Green Culture Program,COO,Phê duyệt roadmap 90 ngày.
2025-10-31,Action,Decision Center pilot,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-04-07,Action,Leadership pipeline review,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-09-10,Action,Dashboard adoption issue,COO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-11-23,Risk,Launch Green Culture Program,CFO,Dashboard phải gắn với nhịp họp điều hành.
2026-10-28,Decision,Leadership pipeline review,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-01-25,Risk,Leadership pipeline review,HRD,Phê duyệt roadmap 90 ngày.
2026-05-29,Lesson Learned,Approve Organization Health Assessment,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-12-18,Action,Approve Organization Health Assessment,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-10-03,Action,Approve Organization Health Assessment,CTO,Dashboard phải gắn với nhịp họp điều hành.
2026-12-12,Decision,Leadership pipeline review,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-06-03,Lesson Learned,Leadership pipeline review,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-05-15,Decision,Approve Organization Health Assessment,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-04-05,Action,Dashboard adoption issue,CFO,Phê duyệt roadmap 90 ngày.
2025-07-04,Risk,Approve Organization Health Assessment,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-06-07,Meeting Note,Key person risk in IT,HRD,Phê duyệt roadmap 90 ngày.
2025-11-14,Action,Key person risk in IT,CEO,Dashboard phải gắn với nhịp họp điều hành.
2026-10-04,Decision,Launch Green Culture Program,CEO,Phê duyệt roadmap 90 ngày.
2026-12-27,Lesson Learned,Key person risk in IT,HRD,Phê duyệt roadmap 90 ngày.
2026-10-27,Lesson Learned,Decision Center pilot,COO,Dashboard phải gắn với nhịp họp điều hành.
2026-10-22,Risk,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-03-01,Decision,Key person risk in IT,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-12-10,Lesson Learned,Decision Center pilot,CEO,Phê duyệt roadmap 90 ngày.
2025-11-04,Lesson Learned,KPI Cascade requires middle management buy-in,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-12,Action,Dashboard adoption issue,COO,Phê duyệt roadmap 90 ngày.
2025-03-22,Action,Leadership pipeline review,CEO,Dashboard phải gắn với nhịp họp điều hành.
2026-07-17,Risk,Dashboard adoption issue,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-05-29,Action,Dashboard adoption issue,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-09-26,Action,Key person risk in IT,HRD,Phê duyệt roadmap 90 ngày.
2025-02-02,Action,Dashboard adoption issue,COO,Phê duyệt roadmap 90 ngày.
2025-06-10,Risk,Launch Green Culture Program,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-01-31,Meeting Note,Launch Green Culture Program,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-03-18,Lesson Learned,Key person risk in IT,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-08-18,Meeting Note,Key person risk in IT,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-08-26,Meeting Note,Process Mining bottleneck,COO,Phê duyệt roadmap 90 ngày.
2025-02-25,Meeting Note,Key person risk in IT,HRD,Dashboard phải gắn với nhịp họp điều hành.
2026-04-06,Decision,Approve Organization Health Assessment,CEO,Phê duyệt roadmap 90 ngày.
2026-06-09,Decision,Dashboard adoption issue,CTO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-03-16,Policy Draft,Decision Center pilot,CFO,Phê duyệt roadmap 90 ngày.
2025-09-23,Meeting Note,Launch Green Culture Program,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-03-30,Meeting Note,Dashboard adoption issue,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-12-15,Lesson Learned,Leadership pipeline review,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-08-08,Action,Process Mining bottleneck,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-10-25,Meeting Note,Leadership pipeline review,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-08-11,Lesson Learned,Process Mining bottleneck,CTO,Dashboard phải gắn với nhịp họp điều hành.
2026-03-10,Action,Launch Green Culture Program,CFO,Dashboard phải gắn với nhịp họp điều hành.
2026-07-03,Lesson Learned,Launch Green Culture Program,CTO,Dashboard phải gắn với nhịp họp điều hành.
2026-09-29,Decision,Leadership pipeline review,CFO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-11-07,Decision,Dashboard adoption issue,HRD,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-11-30,Meeting Note,KPI Cascade requires middle management buy-in,CFO,Dashboard phải gắn với nhịp họp điều hành.
2025-08-04,Risk,Leadership pipeline review,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-02-18,Action,Process Mining bottleneck,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-03-21,Action,Dashboard adoption issue,CTO,Dashboard phải gắn với nhịp họp điều hành.
2026-12-28,Lesson Learned,Process Mining bottleneck,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
